Name,OS,Price,Resolution,Screen,Size,Primary,Secondary,Weight,Sensors,Announced
Huawei Ascend P1s,"Android OS, v4.0 (Ice Cream Sandwich)",,540 x 960 pixels (~256 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",4.3 inches (~61.7% screen-to-body ratio),"8 MP, autofocus, dual-LED flash",1.3 MP,130,"Accelerometer, gyro, proximity, compass","2012, January"
Huawei U5510,,,240 x 320 pixels (~167 ppi pixel density),TFT,2.4 inches (~31.3% screen-to-body ratio),3.15 MP,VGA,90,,2011
Huawei Ascend D quad,"Android OS, v4.0 (Ice Cream Sandwich)",,720 x 1280 pixels (~326 ppi pixel density),"IPS+ LCD, capacitive touchscreen, 16M colors",4.5 inches (~66.7% screen-to-body ratio),"8 MP, autofocus, dual-LED flash","1.3 MP, 720p",130,"Accelerometer, gyro, proximity, compass","2012, February"
Huawei Ascend D quad XL,"Android OS, v4.0 (Ice Cream Sandwich)",,720 x 1280 pixels (~326 ppi pixel density),"IPS+ LCD, capacitive touchscreen, 16M colors",4.5 inches (~67.6% screen-to-body ratio),"8 MP, autofocus, dual-LED flash","1.3 MP, 720p",150,"Accelerometer, gyro, proximity, compass","2012, February"
Huawei Ascend D1,"Android OS, v4.0 (Ice Cream Sandwich), planned upgrade to v4.2 (Jelly Bean)",,720 x 1280 pixels (~326 ppi pixel density),"IPS+ LCD, capacitive touchscreen, 16M colors",4.5 inches (~67.6% screen-to-body ratio),"8 MP, autofocus, dual-LED flash","1.3 MP, 720p",132,"Accelerometer, gyro, proximity, compass","2012, February"
Huawei MediaPad 10 FHD,"Android OS, v4.0 (Ice Cream Sandwich)",,1920 x 1200 pixels (~226 ppi pixel density),"IPS LCD, capacitive touchscreen, 16M colors",10.0 inches (~64.0% screen-to-body ratio),"8 MP, autofocus, dual-LED flash",1.3 MP,580,"Accelerometer, gyro, compass","2012, February"
Huawei Ascend G300,"Android OS, v2.3 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",,480 x 800 pixels (~233 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",4.0 inches (~59.0% screen-to-body ratio),"5 MP, autofocus, LED flash",No,140,"Accelerometer, proximity, compass","2012, February"
Huawei D51 Discovery,,,240 x 320 pixels (~200 ppi pixel density),TFT,2.0 inches (~21.4% screen-to-body ratio),2 MP,No,106,,2011
Huawei T8300,Android-based OPhone OS v2.5,,320 x 480 pixels (~180 ppi pixel density),"TFT capacitive touchscreen, 16M colors",3.2 inches (~49.1% screen-to-body ratio),3.15 MP,VGA,104,"Accelerometer, proximity, compass",2011
Huawei Fusion U8652,"Android OS, v2.3.3 (Gingerbread)",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.5 inches (~51.9% screen-to-body ratio),3.15 MP,No,117,,"2012, March"
Huawei G6609,,,320 x 240 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches (~25.9% screen-to-body ratio),3.15 MP,No,98,,"2012, April"
Huawei Ascend Q M5660,"Android OS, v2.3 (Gingerbread)",,320 x 480 pixels (~180 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.2 inches (~42.8% screen-to-body ratio),3.15 MP,No,132,"Accelerometer, proximity","2012, August"
Huawei Activa 4G,"Android OS, v2.3.6 (Gingerbread)",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.5 inches (~49.0% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,140,,"2012, June"
Huawei Ascend Y200,"Android OS, v2.3 (Gingerbread)",,320 x 480 pixels (~165 ppi pixel density),"IPS LCD capacitive touchscreen, 256K colors",3.5 inches (~51.7% screen-to-body ratio),3.15 MP,No,120,"Accelerometer, proximity, compass","2012, May"
Huawei Ascend Y100,"Android OS, v2.3 (Gingerbread)",,240 x 320 pixels (~143 ppi pixel density),"TFT capacitive touchscreen, 256K colors",2.8 inches (~40.7% screen-to-body ratio),3.15 MP,No,100,"Accelerometer, proximity, compass","2012, May"
Huawei G5000,,,176 x 220 pixels (~141 ppi pixel density),TFT,2.0 inches (~21.0% screen-to-body ratio),VGA,No,-,,"2012, Q2"
Huawei G6310,,,320 x 240 pixels (~167 ppi pixel density),"TFT, 256K colors",2.4 inches (~26.4% screen-to-body ratio),2 MP,No,-,,"2012, Q2"
Huawei MediaPad 7 Lite,"Android OS, v4.0.4 (Ice Cream Sandwich)",,600 x 1024 pixels (~170 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",7.0 inches (~59.5% screen-to-body ratio),3.15 MP,VGA,370,"Accelerometer, gyro, compass","2012, July"
Huawei Ascend G600,"Android OS, v4.0.4 (Ice Cream Sandwich)",,540 x 960 pixels (~245 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",4.5 inches (~61.7% screen-to-body ratio),"8 MP, autofocus, LED flash",Yes,145,"Accelerometer, proximity, compass","2012, August"
Huawei Ascend G330,"Android OS, v4.0 (Ice Cream Sandwich)",,480 x 800 pixels (~233 ppi pixel density),"TFT capacitive touchscreen, 16M colors",4.0 inches (~59.4% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,130,"Accelerometer, proximity","2012, August"
Huawei Ascend D1 XL U9500E,"Android OS, v4.0 (Ice Cream Sandwich)",,720 x 1280 pixels (~326 ppi pixel density),"IPS LCD, capacitive touchscreen, 16M colors",4.5 inches (~66.2% screen-to-body ratio),"8 MP, autofocus, dual-LED flash","1.3 MP, 720p",132,"Accelerometer, gyro, proximity, compass",2012
Huawei Ascend P1 XL U9200E,"Android OS, v4.0.3 (Ice Cream Sandwich)",,540 x 960 pixels (~256 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",4.3 inches,"8 MP, autofocus, dual-LED flash",1.3 MP,-,"Accelerometer, gyro, proximity, compass",2012
Huawei Fusion 2 U8665,"Android OS, v2.3 (Gingerbread)",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.5 inches (~51.6% screen-to-body ratio),3.15 MP,No,124,"Accelerometer, proximity","2012, October"
Huawei Ascend P1 LTE,"Android OS, v4.0 (Ice Cream Sandwich)",,540 x 960 pixels (~256 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",4.3 inches (~58.8% screen-to-body ratio),"8 MP, autofocus, dual-LED flash",1.3 MP,135,"Accelerometer, gyro, proximity, compass","2012, October"
Huawei Ascend W1,Microsoft Windows Phone 8,,480 x 800 pixels (~233 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",4.0 inches (~57.4% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,130,"Accelerometer, proximity","2013, January"
Huawei Summit,"Android OS, v2.3.6 (Gingerbread)",,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen,3.5 inches (~52.6% screen-to-body ratio),3.15 MP,No,125,"Accelerometer, proximity","2012, October"
Huawei Honor 2,"Android OS, v4.0 (Ice Cream Sandwich)",,720 x 1280 pixels (~326 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",4.5 inches (~61.7% screen-to-body ratio),"8 MP, autofocus, LED flash","1.3 MP, 720p@30fps",145,"Accelerometer, gyro, proximity, compass","2012, October"
Huawei G5520,,,240 x 320 pixels (~167 ppi pixel density),"TFT, 65K colors",2.4 inches (~31.3% screen-to-body ratio),1.3 MP,No,-,,"2011, June"
Huawei G6800,,,240 x 320 pixels (~143 ppi pixel density),"TFT, 256K colors",2.8 inches (~35.2% screen-to-body ratio),3.15 MP,No,-,,2012
Huawei Ascend Y201 Pro,"Android OS, v4.0 (Ice Cream Sandwich)",,320 x 480 pixels (~165 ppi pixel density),"TFT capacitive touchscreen, 256K colors",3.5 inches (~50.7% screen-to-body ratio),3.15 MP,No,125,"Accelerometer, proximity","2012, August"
Huawei Ascend W3,Microsoft Windows Phone 8,,720 x 1280 pixels (~326 ppi pixel density),"Capacitive touchscreen, 16M colors",4.5 inches (~63.1% screen-to-body ratio),"8 MP, autofocus, LED flash",Yes,-,"Accelerometer, proximity","Exp. announcement 2013, January"
Huawei Ascend G500,"Android OS, v4.0.4 (Ice Cream Sandwich)",,540 x 960 pixels (~256 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",4.3 inches (~60.3% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,156,"Accelerometer, proximity","2012, November"
Huawei Ascend D2,"Android OS, v4.1 (Jelly Bean)",,1080 x 1920 pixels (~441 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",5.0 inches (~69.3% screen-to-body ratio),"13 MP, autofocus, LED flash","1.3 MP, 720p@30fps",170,"Accelerometer, gyro, proximity, compass","2013, January"
Huawei Ascend Mate,"Android OS, v4.1 (Jelly Bean), upgradable to v4.2.2 (Jelly Bean)",,720 x 1280 pixels (~241 ppi pixel density),"IPS+ LCD capacitive touchscreen, 16M colors",6.1 inches (~73.2% screen-to-body ratio),"8 MP, autofocus, LED flash","1 MP, 720p@30fps",198,"Accelerometer, gyro, proximity, compass","2013, January"
Huawei Ascend G510,"Android OS, v4.1 (Jelly Bean)",,480 x 854 pixels (~218 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",4.5 inches (~62.2% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,150,"Accelerometer, proximity, compass","2013, January"
Huawei Ascend G615,"Android OS, v4.0 (Ice Cream Sandwich), upgradable to v4.1 (Jelly Bean)",,720 x 1280 pixels (~330 ppi pixel density),"Super IPS+ LCD capacitive touchscreen, 16M colors",4.5 inches (~60.2% screen-to-body ratio),"8 MP, autofocus, dual-LED flash","1.3 MP, 720p",145,"Accelerometer, gyro, proximity, compass","2013, January"
Huawei Ascend P2,"Android OS, v4.1.2 (Jelly Bean)",,720 x 1280 pixels (~312 ppi pixel density),"IPS LCD capacitive touchscreen, 16M colors",4.7 inches (~67.0% screen-to-body ratio),"13 MP, autofocus, LED flash","1.3 MP, 720p@30fps",122,"Accelerometer, gyro, proximity, compass"," 2013, February"
HTC Google Nexus One,"Android OS, v2.1 (Eclair), upgradable to v2.3.6 (Gingerbread)",,480 x 800 pixels (~252 ppi pixel density),"AMOLED capacitive touchscreen, 16M colors",3.7 inches (~54.8% screen-to-body ratio),"5 MP, autofocus, LED flash",No,130,"Accelerometer, proximity, compass","2010, January"
Samsung Google Nexus S,"Android OS, v2.3 (Gingerbread), v4.1.2 (Jelly Bean), not upgradable to v4.2 (Jelly Bean)",,480 x 800 pixels (~233 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",4.0 inches (~58.3% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,129,"Accelerometer, gyro, proximity, compass","2010, December"
Samsung Google Nexus S 4G,"Android OS, v2.3 (Gingerbread)",,480 x 800 pixels (~233 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",4.0 inches (~58.3% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,131,"Accelerometer, gyro, proximity, compass, barometer","2011, March"
Samsung Google Nexus S I9023,"Android OS, v2.3 (Gingerbread), upgradable to v4.1.1 (Jelly Bean)",,480 x 800 pixels (~233 ppi pixel density),"S-LCD capacitive touchscreen, 16M colors",4.0 inches (~58.3% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,129,"Accelerometer, gyro, proximity, compass, barometer","2011, March"
Samsung Google Nexus S I9020A,"Android OS, v2.3 (Gingerbread)",,480 x 800 pixels (~233 ppi pixel density),"Super AMOLED capacitive touchscreen, 16M colors",4.0 inches (~58.3% screen-to-body ratio),"5 MP, autofocus, LED flash",VGA,129,"Accelerometer, gyro, proximity, compass, barometer","2011, March. Released 2011, April"
Asus Google Nexus 7,"Android OS, v4.1.2 (Jelly Bean), upgradable to v5.1.1 (Lollipop)",,800 x 1280 pixels (~216 ppi pixel density),"LED-backlit IPS LCD capacitive touchscreen, 16M colors",7.0 inches (~59.6% screen-to-body ratio),1.2 MP,No,340,"Accelerometer, gyro, proximity, compass","2012, June"
Samsung Google Nexus 10 P8110,"Android OS, v4.2 (Jelly Bean), upgradable to v5.1 (Lollipop)",,2560 x 1600 pixels (~299 ppi pixel density),"Super PLS TFT capacitive touchscreen, 16M colors",10.1 inches (~63.1% screen-to-body ratio),"5 MP, autofocus, LED flash",1.9 MP,603,"Accelerometer, gyro, proximity, compass, barometer","2012, October"
Asus Google Nexus 7 Cellular,"Android OS, v4.1 (Jelly Bean), upgradable to v5.1.1 (Lollipop)",,800 x 1280 pixels (~216 ppi pixel density),"LED-backlit IPS LCD capacitive touchscreen, 16M colors",7.0 inches (~59.6% screen-to-body ratio),1.2 MP,No,347,"Accelerometer, gyro, proximity, compass","2012, October"
Asus Google Nexus 7 (2013),"Android OS, v4.3 (Jelly Bean), upgradable to v6.0 (Marshmallow)",,1200 x 1920 pixels (~323 ppi pixel density),"LED-backlit IPS LCD capacitive touchscreen, 16M colors",7.0 inches (~62.3% screen-to-body ratio),"5 MP, f/2.4, autofocus",1.2 MP,290,"Accelerometer, gyro, proximity, compass","2013, July"
Google Pixel C,"Android OS, v6.0.1 (Marshmallow)",,2560 x 1800 pixels (~308 ppi pixel density),"LTPS IPS LCD capacitive touchscreen, 16M colors",10.2 inches (~72.4% screen-to-body ratio),"8 MP, f/2.4",2 MP,517,"Accelerometer, gyro, proximity, compass","2015, October"
LG LG-200,,,128 x 64 pixels,Monochrome graphic,,,,80,,
LG LG-500,,,128 x 90 pixels,Monochrome graphic,,,,90,,2002
LG LG-600,,,128 x 90 pixels,Monochrome graphic,,,,90,,2002
LG W3000,,,128 x 64 pixels,"Grayscale graphic, 4 shades",,,,80,,"2002, 3Q"
LG W5200,,,128 x 128 pixels,"Grayscale graphic, 4 shades",,,,80,,"2002, 3Q"
LG G3000,,,128 x 64 pixels,"Grayscale graphic, 4 shades",,,,79,,"2003, 1Q"
LG G5200,,,128 x 128 pixels,"Grayscale graphic, 4 shades",,,,80,,"2002, 3Q"
LG W7000,,,"128 x 160 pixels, 7 lines","STN, 256 colors",,,,89,,"2002, 4Q"
LG G7000,,,"128 x 160 pixels, 10 lines","STN, 65K colors",,,,93,,"2002, 4Q"
LG W7020,,,"128 x 160 pixels, 10 lines","STN, 65K colors",,,,89,,"2002, 4Q"
LG G8000,,,"176 x 220 pixels, 10 lines","TFD, 65K colors",,CIF,No,120,,"2003, 1Q"
LG G7020,,,"128 x 160 pixels, 10 lines","STN, 65K colors",,,,89,,"2002, 4Q"
LG G5300,,,"128 x 128 pixels, 8 lines","STN, 65K colors",,,,85,,"2003, 1Q"
LG G5400,,,"128 x 160 pixels, 7 lines","UFB, 65K colors",,,,85,,"2003, 2Q"
LG G7030,,,"128 x 160 pixels, 7 lines","UFB, 65K colors",,,,88,,"2003, 3Q"
LG G7100,,,"120 x 160 pixels, 7 lines","STN, 65K colors",,VGA,No,93,,"2003, 2Q"
LG G7070,,,"128 x 160 pixels, 7 lines","UFB, 65K colors",,VGA,No,95,,"2003, 2Q"
LG G7050,,,"128 x 160 pixels, 6 lines","STN, 65K colors",,VGA,No,89,,"2003, 4Q"
LG LG 510w,,,"128 x 128 pixels, 9 lines",Monochrome graphic,,,,78,,2002
LG B1200,,,"112 x 64 pixels, 3 lines",Monochrome graphic,,,,80,,"June, 2002"
LG U8100,,,"176 x 220 pixels, 7 lines","TFD, 64K colors",,VGA,No,120,,"2003, 3Q"
LG U8150,,,"176 x 220 pixels, 7 lines","TFT, 256K colors",,"VGA, 180 deg rotating lens",No,136,,"2003, 3Q"
LG G5310,,,"128 x 160 pixels, 7 lines","UFB, 65K colors",,,,85,,"2003, 3Q"
LG G5500,,,"128 x 160 pixels, 6 lines","UFB, 65K colors",,,,81,,"2003, 4Q"
LG G7120,,,128 x 160 pixels,"UFB, 65K colors",,VGA,No,101,,"2004, 1Q"
LG G1500,,,"128 x 64 pixels, 2 lines",Grayscale graphic,,,,80,,"2004, 1Q"
LG T5100,,,176 x 220 pixels,"TFT, 256K colors",,1.3 MP,No,120,,"2004, 1Q"
LG G7200,,,176 x 220 pixels,"TFT, 256K colors",,VGA,No,116,,"2004, 1Q"
LG G1600,,,"128 x 128 pixels, 8 lines","STN, 65K colors",,,,83,,"2004, 2Q"
LG U8110,,,"176 x 220 pixels, 7 lines","TFT, 64K colors",,"VGA, 180 deg swivel",No,126,,"2004, 2Q"
LG L1100,,,"128 x 160 pixels, 7 lines","TFT, 65K colors",,VGA,No,90,,"2004, 2Q"
LG L3100,,,128 x 160 pixels,"TFT, 65K colors",,VGA,No,87,,"2004, 2Q"
LG C3100,,,128 x 128 pixels,"STN, 65K colors",,,,85,,"2004, 2Q"
LG C1200,,,128 x 160 pixels,"STN, 65K colors",,,,81,,"2004, 1Q"
LG C1100,,,128 x 128 pixels,"STN, 65K colors",,,,85,,"2004, 1Q"
LG C1400,,,"128 x 160 pixels, 6 lines","UFB, 65K colors",,,,92,,"2004, 1Q"
LG U8120,,,"176 x 220 pixels, 7 lines","TFT, 64K colors",,"VGA, 180 deg swivel",No,126,,"2004, 2Q"
LG G3100,,,128 x 96 pixels,"STN, 4096 colors",,,,83,,"2004, 2Q"
LG F2100,,,"128 x 160 pixels, 7 lines","TFT, 256K colors",,"VGA, LED flash",No,90,,"2004, 3Q"
LG C2200,,,128 x 160 pixels,"TFT, 65K colors",,VGA,No,99,,"2004, 3Q"
LG L5100,,,176 x 220 pixels,"TFT, 256K colors",,1.3 MP,No,120,,"2004, 3Q"
LG A7150,,,128 x 160 pixels,"TFT, 65K colors",,"VGA, 180 deg rotating lens, LED flash",No,110,,"2004, 4Q"
LG F7250,,,"128 x 160 pixels, 12 lines (~108 ppi pixel density)","TFT, 65K colors",1.9 inches (~23.7% screen-to-body ratio),,,115,,"2004, 4Q"
LG G1800,,,128 x 128 pixels (~113 ppi pixel density),"STN, 256K colors",1.6 inches (~18.5% screen-to-body ratio),,,78,,"2004, 4Q"
LG G1700,,,128 x 128 pixels (~113 ppi pixel density),"STN, 4096 colors",1.6 inches (~18.6% screen-to-body ratio),,,80,,"2004, 4Q"
LG F2300,,,"128 x 160 pixels, 7 lines","TFT, 65K colors",,"VGA, LED flash",No,91,,"2005, 1Q"
LG G1610,,,128 x 128 pixels (~121 ppi pixel density),"STN, 65K colors",1.5 inches (~15.9% screen-to-body ratio),,,83,,"2005, 1Q"
LG M4300,,,176 x 220 pixels,"TFT, 256K colors",,"VGA, LED flash",No,110,,"2005, 1Q"
LG C3300,,,128 x 160 pixels,"STN, 65K colors",,"VGA, LED flash",No,93,,"2005, 1Q"
LG C3310,,,128 x 160 pixels,"STN, 65K colors",,"VGA, LED flash",No,92,,"2005, 1Q"
LG C3400,,,128 x 160 pixels,"CSTN, 65K colors",,"VGA, LED flash",No,93,,"2005, 1Q"
LG U8200,,,176 x 220 pixels,"TFT, 65K colors",,"1.3 MP, 180 deg rotating lens, LED flash",No,125,,"2005, 1Q"
LG U8210,,,176 x 220 pixels,"TFT, 256K colors",,"1.3 MP, 180 deg rotating lens, LED flash",No,115,,"2005, 1Q"
LG U8138,,,"176 x 220 pixels, 7 lines","TFT, 256K colors",,"VGA, 180 deg swivel",No,126,,"2004, 3Q"
LG F1200,,,"128 x 160 pixels, 12 lines","TFT, 256K colors",,VGA,No,101,,"2005, 1Q"
LG B2000,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches (~16.2% screen-to-body ratio),,,73,,"2005, 1Q"
LG B2100,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches (~16.4% screen-to-body ratio),VGA,No,73,,"2005, 2Q"
LG C3320,,,128 x 160 pixels,"STN, 65K colors",,"VGA, LED flash",No,90,,"2005, 1Q"
LG C2100,,,128 x 160 pixels,"CSTN, 65K colors",,,,90,,"2005, 1Q"
LG U8180,,,"176 x 220 pixels, 7 lines","TFT, 256K colors",,"VGA, 180 deg swivel",No,126,,"2004, 3Q"
LG F2400,,,"128 x 160 pixels, 7 lines","TFT, 65K colors",,"VGA, LED flash",No,85,,"2005, 2Q"
LG L341i,,,128 x 160 pixels,"TFT, 65K colors",,VGA,No,90,,"2005, 2Q"
LG M4410,,,176 x 220 pixels,"TFT, 256K colors",,"1.3 MP, LED flash",No,107,,"2005, 1Q"
LG L342i,,,128 x 160 pixels,"STN, 65K colors",,VGA,No,90,,"2005, 2Q"
LG M4330,,,176 x 220 pixels,"TFT, 256K colors",,"VGA, LED flash",No,110,,"2005, 2Q"
LG F2410,,,128 x 160 pixels,"TFT, 65K colors",,"VGA, LED flash",No,91,,"2005, 2Q"
LG B2250,,,128 x 160 pixels (~114 ppi pixel density),"TFT, 256K colors",1.8 inches (~21.2% screen-to-body ratio),VGA,No,85,,"2005, 3Q"
LG P7200,,,176 x 220 pixels,"TFT, 256K colors",,"2 MP, autofocus, LED flash",No,112,,"2005, August"
LG U8380,,,176 x 220 pixels (~128 ppi pixel density),"TFT, 256K colors","2.2 inches, 35 x 44 mm (~32.2% screen-to-body ratio)","1.3 MP, LED flash",VGA videocall camera,130,,"2005, June"
LG U8360,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors","2.0 inches, 31 x 39 mm (~27.9% screen-to-body ratio)","1.3 MP, 180 deg rotating lens",No,132,,"2005, June"
LG U8330,,,176 x 220 pixels,"TFT, 256K colors",,"VGA, 180 deg rotating lens",No,120,,"2005, June"
LG U880,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors","2.0 inches, 31 x 39 mm (~26.0% screen-to-body ratio)","1.3 MP, 180 deg rotating lens",No,99,,"2005, October"
LG F2250,,,128 x 160 pixels,"CSTN, 65K colors",,,,90,,"2005, 3Q"
LG S5200,,,128 x 160 pixels (~114 ppi pixel density),"TFT, 256K colors",1.8 inches (~24.1% screen-to-body ratio),"1.3 MP, LED flash",No,92,,"2005, October"
LG S5100,,,128 x 160 pixels,"TFT, 256K colors",,"1.3 MP, LED flash",No,95,,"2005, October"
LG F3000,,,128 x 160 pixels,"TFT, 65K colors",,"1.3 MP, LED flash",No,91,,"2005, 3Q"
LG C1150,,,128 x 128 pixels,"CSTN, 65K colors",,,,99,,"2005, November"
LG B2050,,,128 x 128 pixels (~121 ppi pixel density),"CSN, 65K colors",1.5 inches (~15.7% screen-to-body ratio),,,72,,"2005, 3Q"
LG M6100,,,128 x 160 pixels (~158 ppi pixel density),"TFT, 256K colors",1.3 inches (~14.8% screen-to-body ratio),1.3 MP,No,88,,"2006, January"
LG KG920,,,240 x 320 pixels (~200 ppi pixel density),"TFT, 256K colors",2.0 inches (~22.9% screen-to-body ratio),"5 MP, autofocus, strobe flash",No,138,,"2006, February"
LG KU730,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors","2.0 inches, 31 x 39 mm (~27.7% screen-to-body ratio)",1.3 MP,VGA videocall camera,105,,"2006, February"
LG V9000,,,240 x 320 pixels (~182 ppi pixel density),"TFT, 256K colors",2.2 inches (~29.1% screen-to-body ratio),"1.3 MP, LED flash",No,142,,"2006, February"
LG U8550,,,220 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors",2.2 inches (~31.5% screen-to-body ratio),"1.3 MP, LED flash",VGA videocall camera,135,,"2006, February"
LG U890,,,176 x 220 pixels (~128 ppi pixel density),"TFT, 256K colors","2.2 inches, 35 x 44 mm (~31.5% screen-to-body ratio)","1.3 MP, 180 deg rotating lens",No,99,,"2006, February"
LG S5300,,,176 x 220 pixels (~157 ppi pixel density),"TFT, 256K colors","1.8 inches, 28 x 35 mm (~24.1% screen-to-body ratio)","1.3 MP, LED flash",No,92,,"2006, February"
LG KG320,,,176 x 220 pixels (~157 ppi pixel density),"TFT, 256K colors",1.8 inches (~23.1% screen-to-body ratio),"1.3 MP, LED flash",No,70,,"2006, March"
LG KE600,,,240 x 320 pixels (~200 ppi pixel density),"TFT, 256K colors",2.0 inches (~27.8% screen-to-body ratio),"2 MP, autofocus, LED flash",No,90,,"2006, March"
LG KG800,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors","2.0 inches, 31 x 39 mm (~27.6% screen-to-body ratio)","1.3 MP, LED flash",No,83,,"2006, March"
LG KG225,,,128 x 128 pixels,"CSTN, 65K colors",,VGA,No,70,,"2006, April"
LG KG220,,,128 x 128 pixels,"CSTN, 65K colors",,VGA,No,73,,"2006, April"
LG U900,,,240 x 320 pixels (~182 ppi pixel density),"TFT, 256K colors","2.2 inches, 33 x 45 mm (~29.4% screen-to-body ratio)",1.3 MP,VGA videocall camera,110,,"2006, April"
LG KG210,,,128 x 128 pixels,"CSTN, 65K colors",,,,85,,"2006, April"
LG KG810,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors","2.0 inches, 31 x 39 mm (~29.1% screen-to-body ratio)",1.3 MP,No,83,,"2006, May"
LG KG245,,,128 x 160 pixels,"TFT, 256K colors",,"VGA, LED flash",No,70,,"2006, April"
LG U400,,,240 x 320 pixels (~200 ppi pixel density),"TFT, 256K colors",2.0 inches (~25.9% screen-to-body ratio),2 MP,VGA videocall camera,114,,"2006, July"
LG U300,,,176 x 220 pixels (~141 ppi pixel density),"TFT, 256K colors",2.0 inches (~26.8% screen-to-body ratio),"1.3 MP, 180 deg rotating lens",No,93,,"2006, July"
LG CU500,,,176 x 220 pixels,"TFT, 65K colors",,"1.3 MP, rotating lens",No,105,,"2006, July"
LG KG240,,,128 x 160 pixels,"TFT, 256K colors",,"VGA, LED flash",No,79,,"2006, June"
LG C2500,,,128 x 128 pixels (~121 ppi pixel density),"CSTN, 65K colors",1.5 inches (~15.6% screen-to-body ratio),VGA,No,80,,"2005, December"
LG KG190,,,128 x 128 pixels (~139 ppi pixel density),"CSTN, 256K colors",1.3 inches (~14.2% screen-to-body ratio),VGA,No,85,,"2006, May"
Motorola M3888,,,2 x 12 chars,Monochrome graphic,,,,170,,1999
Motorola M3788,,,"96 x 32 pixels, 4 lines","Monochrome graphic, Optimax",,,,170,,1999
Motorola M3688,,,"96 x 32 pixels, 4 lines","Monochrome graphic, Optimax",,,,170,,1999
Motorola M3588,,,"96 x 32 pixels, 4 x 12 chars",Monochrome graphic,,,,170,,1999
Motorola M3288,,,"96 x 32 pixels, 4 x 12 chars",Monochrome graphic,,,,170,,1999
Motorola M3188,,,"96 x 32 pixels, 2 x 12 chars",Monochrome graphic,,,,170,,1999
Motorola cd920,,,"96 x 32 pixels, 4 x 12 chars","Monochrome graphic, Optimax",,,,120,,1998
Motorola cd930,,,"96 x 32 pixels, 4 x 12 chars","Monochrome graphic, Optimax",,,,120,,1998
Motorola StarTAC 130,,,4 x 15 chars,Monochrome graphic,,,,95,,1998
Motorola StarTAC 85,,,4 x 15 chars,Monochrome graphic,,,,112,,1997
Motorola StarTAC 75+,,,2 x 12 chars,Alphanumeric,,,,112,,1997
Motorola StarTAC Rainbow,,,2 x 12 chars,Alphanumeric,,,,112,,1997
Motorola SlimLite,,,4 x 16 chars,Monochrome graphic,,,,141,,1997
Motorola V3688,,,"96 x 64 pixels, 5 lines","Monochrome graphic, Optimax",,,,83,,1998
Motorola Timeport L7089,,,5 lines,"Monochrome graphic, Optimax",,,,140,,2000
Motorola Timeport P7389,,,5 lines,"Monochrome graphic, Optimax",,,,140,,2000
Motorola Talkabout T2288,,,"96 x 64 pixels, 4 lines","Monochrome graphic, Optimax",,,,140,,2000
Motorola d520,,,2 x 12 chars,Monochrome graphic,,,,170,,1998
Motorola A6188,,,240 x 320 pixels,Monochrome resistive touchscreen,,,,137,,2000
Motorola V3690,,,"98 x 64 pixels, 5 lines","Monochrome graphic, Optimax",,,,83,,1999
Motorola V2288,,,"96 x 64 pixels, 5 lines",Monochrome graphic,,,,150,,2000
Motorola T180,,,2 x 12 chars,Alphanumeric,,,,140,,2000
Motorola V50,,,"96 x 54 pixels, 5 lines","Monochrome graphic, Optimax",,,,83,,2000
